"Label (Grouping)","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","(X)","12.8%","28.7%","45.1%","13.4%","(X)","3.2%","6.5%","24.3%","20.9%","12.1%","21.4%","11.5%","90.3%","33.0%","(X)","91.0%","37.8%","(X)","92.1%","39.1%","(X)","91.5%","33.5%","(X)","87.8%","27.6%","","(X)","91.4%","35.5%","(X)","92.7%","35.7%","(X)","86.0%","17.3%","(X)","100.0%","21.4%","(X)","76.4%","52.6%","(X)","-","-","(X)","24.7%","9.9%","(X)","93.8%","14.3%","(X)","54.6%","27.7%","","44.2%","20.0%","10.9%","2.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Nash County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,451","1,947","2,565","3,448","491","64,449","3,362","6,887","21,733","13,779","6,073","8,474","4,141","(X)","(X)","10,462","9,276","2,042","11,518","10,191","2,807","27,069","23,507","5,533","15,400","11,226","2,233","","37,196","33,072","9,171","36,234","32,472","9,034","24,027","18,901","2,945","468","399","21","542","454","301","16","16","0","1,584","845","30","616","513","147","2,914","1,697","215","","(X)","(X)","(X)","(X)","","30,534","18,573","25,866","31,221","43,203","53,639"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","23.0%","30.4%","40.8%","5.8%","(X)","5.2%","10.7%","33.7%","21.4%","9.4%","13.1%","6.4%","84.1%","19.6%","(X)","88.7%","19.5%","(X)","88.5%","24.4%","(X)","86.8%","20.4%","(X)","72.9%","14.5%","","(X)","88.9%","24.7%","(X)","89.6%","24.9%","(X)","78.7%","12.3%","(X)","85.3%","4.5%","(X)","83.8%","55.5%","(X)","100.0%","0.0%","(X)","53.3%","1.9%","(X)","83.3%","23.9%","(X)","58.2%","7.4%","","29.4%","16.3%","10.0%","5.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,279","1,202","1,443","1,514","120","30,067","1,990","3,544","10,358","6,172","2,332","3,971","1,700","(X)","(X)","5,133","4,458","848","5,523","4,610","1,072","12,908","10,717","2,574","6,503","4,748","1,177","","17,923","15,733","4,345","17,302","15,347","4,258","10,614","7,783","1,073","208","177","0","220","193","164","16","16","0","749","345","0","337","286","89","1,583","863","107","","(X)","(X)","(X)","(X)","","36,070","20,205","30,261","40,579","53,519","76,845"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","28.1%","33.7%","35.4%","2.8%","(X)","6.6%","11.8%","34.4%","20.5%","7.8%","13.2%","5.7%","81.6%","18.9%","(X)","86.8%","16.5%","(X)","83.5%","19.4%","(X)","83.0%","19.9%","(X)","73.0%","18.1%","","(X)","87.8%","24.2%","(X)","88.7%","24.6%","(X)","73.3%","10.1%","(X)","85.1%","0.0%","(X)","87.7%","74.5%","(X)","100.0%","0.0%","(X)","46.1%","0.0%","(X)","84.9%","26.4%","(X)","54.5%","6.8%","","22.0%","10.2%","6.1%","4.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,172","745","1,122","1,934","371","34,382","1,372","3,343","11,375","7,607","3,741","4,503","2,441","(X)","(X)","5,329","4,818","1,194","5,995","5,581","1,735","14,161","12,790","2,959","8,897","6,478","1,056","","19,273","17,339","4,826","18,932","17,125","4,776","13,413","11,118","1,872","260","222","21","322","261","137","0","0","0","835","500","30","279","227","58","1,331","834","108","","(X)","(X)","(X)","(X)","","26,166","15,442","19,583","26,555","36,010","44,705"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","17.9%","26.9%","46.4%","8.9%","(X)","4.0%","9.7%","33.1%","22.1%","10.9%","13.1%","7.1%","86.3%","20.2%","(X)","90.4%","22.4%","(X)","93.1%","28.9%","(X)","90.3%","20.9%","(X)","72.8%","11.9%","","(X)","90.0%","25.0%","(X)","90.5%","25.2%","(X)","82.9%","14.0%","(X)","85.4%","8.1%","(X)","81.1%","42.5%","(X)","-","-","(X)","59.9%","3.6%","(X)","81.4%","20.8%","(X)","62.7%","8.1%","","38.2%","21.7%","12.7%","5.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"New Hanover County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","27,776","2,351","7,214","14,502","3,709","146,747","3,871","7,449","32,556","33,467","13,749","36,940","18,715","(X)","(X)","29,655","27,031","11,066","27,597","25,920","12,186","55,412","51,781","20,265","34,083","30,695","12,138","","122,229","114,933","50,523","117,777","112,093","49,716","19,164","16,314","3,255","299","205","77","2,003","1,729","1,015","62","62","51","1,397","687","125","1,593","1,497","609","5,843","3,513","895","","(X)","(X)","(X)","(X)","","35,114","17,655","27,175","29,950","42,364","62,593"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.5%","26.0%","52.2%","13.4%","(X)","2.6%","5.1%","22.2%","22.8%","9.4%","25.2%","12.8%","92.3%","37.9%","(X)","91.2%","37.3%","(X)","93.9%","44.2%","(X)","93.4%","36.6%","(X)","90.1%","35.6%","","(X)","94.0%","41.3%","(X)","95.2%","42.2%","(X)","85.1%","17.0%","(X)","68.6%","25.8%","(X)","86.3%","50.7%","(X)","100.0%","82.3%","(X)","49.2%","8.9%","(X)","94.0%","38.2%","(X)","60.1%","15.3%","","32.8%","18.1%","13.8%","5.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,267","1,372","3,800","6,617","1,478","69,354","1,887","4,156","15,685","15,865","5,400","17,134","9,227","(X)","(X)","14,825","13,277","4,788","13,683","12,600","5,593","26,091","24,039","9,285","14,755","13,395","6,695","","58,328","54,345","24,393","55,959","53,012","24,112","8,441","7,027","1,087","151","104","19","901","789","600","42","42","31","765","320","21","726","684","210","3,123","1,634","281","","(X)","(X)","(X)","(X)","","40,636","21,330","31,374","35,704","54,490","76,470"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","10.3%","28.6%","49.9%","11.1%","(X)","2.7%","6.0%","22.6%","22.9%","7.8%","24.7%","13.3%","91.3%","38.0%","(X)","89.6%","32.3%","(X)","92.1%","40.9%","(X)","92.1%","35.6%","(X)","90.8%","45.4%","","(X)","93.2%","41.8%","(X)","94.7%","43.1%","(X)","83.2%","12.9%","(X)","68.9%","12.6%","(X)","87.6%","66.6%","(X)","100.0%","73.8%","(X)","41.8%","2.7%","(X)","94.2%","28.9%","(X)","52.3%","9.0%","","25.6%","18.6%","10.6%","4.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,509","979","3,414","7,885","2,231","77,393","1,984","3,293","16,871","17,602","8,349","19,806","9,488","(X)","(X)","14,830","13,754","6,278","13,914","13,320","6,593","29,321","27,742","10,980","19,328","17,300","5,443","","63,901","60,588","26,130","61,818","59,081","25,604","10,723","9,287","2,168","148","101","58","1,102","940","415","20","20","20","632","367","104","867","813","399","2,720","1,879","614","","(X)","(X)","(X)","(X)","","30,807","15,135","23,495","25,034","36,234","53,537"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.7%","23.5%","54.3%","15.4%","(X)","2.6%","4.3%","21.8%","22.7%","10.8%","25.6%","12.3%","93.2%","37.9%","(X)","92.7%","42.3%","(X)","95.7%","47.4%","(X)","94.6%","37.4%","(X)","89.5%","28.2%","","(X)","94.8%","40.9%","(X)","95.6%","41.4%","(X)","86.6%","20.2%","(X)","68.2%","39.2%","(X)","85.3%","37.7%","(X)","100.0%","100.0%","(X)","58.1%","16.5%","(X)","93.8%","46.0%","(X)","69.1%","22.6%","","41.1%","17.6%","16.4%","5.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Northampton County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,653","314","671","646","22","15,083","1,025","2,252","5,761","2,876","1,468","1,024","677","(X)","(X)","2,040","1,746","203","2,001","1,626","327","6,322","5,240","736","4,720","3,194","435","","6,314","5,354","799","6,255","5,337","795","8,400","6,185","873","87","76","21","34","29","5","9","9","0","77","32","0","162","121","3","165","72","16","","(X)","(X)","(X)","(X)","","26,761","19,058","25,318","30,091","35,071","50,410"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","19.0%","40.6%","39.1%","1.3%","(X)","6.8%","14.9%","38.2%","19.1%","9.7%","6.8%","4.5%","78.3%","11.3%","(X)","85.6%","10.0%","(X)","81.3%","16.3%","(X)","82.9%","11.6%","(X)","67.7%","9.2%","","(X)","84.8%","12.7%","(X)","85.3%","12.7%","(X)","73.6%","10.4%","(X)","87.4%","24.1%","(X)","85.3%","14.7%","(X)","100.0%","0.0%","(X)","41.6%","0.0%","(X)","74.7%","1.9%","(X)","43.6%","9.7%","","33.6%","19.2%","17.2%","11.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","868","239","401","223","5","7,054","519","1,220","3,044","1,239","445","380","207","(X)","(X)","1,062","872","94","1,026","859","108","3,001","2,348","211","1,965","1,236","174","","3,083","2,491","419","3,058","2,486","419","3,764","2,662","158","41","30","5","5","5","5","5","5","0","40","21","0","116","101","0","69","28","0","","(X)","(X)","(X)","(X)","","31,909","21,910","32,523","32,540","41,715","51,908"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","27.5%","46.2%","25.7%","0.6%","(X)","7.4%","17.3%","43.2%","17.6%","6.3%","5.4%","2.9%","75.3%","8.3%","(X)","82.1%","8.9%","(X)","83.7%","10.5%","(X)","78.2%","7.0%","(X)","62.9%","8.9%","","(X)","80.8%","13.6%","(X)","81.3%","13.7%","(X)","70.7%","4.2%","(X)","73.2%","12.2%","(X)","100.0%","100.0%","(X)","100.0%","0.0%","(X)","52.5%","0.0%","(X)","87.1%","0.0%","(X)","40.6%","0.0%","","24.4%","15.0%","13.2%","5.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","785","75","270","423","17","8,029","506","1,032","2,717","1,637","1,023","644","470","(X)","(X)","978","874","109","975","767","219","3,321","2,892","525","2,755","1,958","261","","3,231","2,863","380","3,197","2,851","376","4,636","3,523","715","46","46","16","29","24","0","4","4","0","37","11","0","46","20","3","96","44","16","","(X)","(X)","(X)","(X)","","22,658","17,746","19,000","28,385","28,125","49,028"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9.6%","34.4%","53.9%","2.2%","(X)","6.3%","12.9%","33.8%","20.4%","12.7%","8.0%","5.9%","80.8%","13.9%","(X)","89.4%","11.1%","(X)","78.7%","22.5%","(X)","87.1%","15.8%","(X)","71.1%","9.5%","","(X)","88.6%","11.8%","(X)","89.2%","11.8%","(X)","76.0%","15.4%","(X)","100.0%","34.8%","(X)","82.8%","0.0%","(X)","100.0%","0.0%","(X)","29.7%","0.0%","(X)","43.5%","6.5%","(X)","45.8%","16.7%","","43.2%","23.8%","19.5%","14.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Onslow County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,657","3,069","17,926","16,269","1,393","99,874","2,849","6,158","28,922","32,491","9,963","13,534","5,957","(X)","(X)","34,679","32,748","6,780","18,925","17,630","4,246","30,413","27,515","5,863","15,857","12,974","2,602","","75,623","69,711","15,566","70,184","64,782","14,596","15,974","14,045","2,238","541","478","84","2,380","1,926","594","322","322","0","1,969","1,473","387","3,065","2,912","622","8,944","7,878","1,460","","(X)","(X)","(X)","(X)","","31,548","18,398","27,377","30,655","41,437","58,474"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.9%","46.4%","42.1%","3.6%","(X)","2.9%","6.2%","29.0%","32.5%","10.0%","13.6%","6.0%","91.0%","19.5%","(X)","94.4%","19.6%","(X)","93.2%","22.4%","(X)","90.5%","19.3%","(X)","81.8%","16.4%","","(X)","92.2%","20.6%","(X)","92.3%","20.8%","(X)","87.9%","14.0%","(X)","88.4%","15.5%","(X)","80.9%","25.0%","(X)","100.0%","0.0%","(X)","74.8%","19.7%","(X)","95.0%","20.3%","(X)","88.1%","16.3%","","26.9%","13.1%","10.1%","4.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,774","1,730","14,552","9,993","499","49,917","1,419","3,254","15,961","16,856","4,006","5,738","2,683","(X)","(X)","18,984","17,776","2,693","9,553","8,837","1,610","14,396","12,763","2,910","6,984","5,868","1,208","","38,155","35,033","6,880","35,296","32,392","6,350","8,000","6,806","796","396","349","63","706","696","214","142","142","0","1,012","761","144","1,506","1,457","324","4,856","4,356","739","","(X)","(X)","(X)","(X)","","37,354","22,403","32,126","37,235","58,304","70,492"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.5%","54.4%","37.3%","1.9%","(X)","2.8%","6.5%","32.0%","33.8%","8.0%","11.5%","5.4%","90.6%","16.9%","(X)","93.6%","14.2%","(X)","92.5%","16.9%","(X)","88.7%","20.2%","(X)","84.0%","17.3%","","(X)","91.8%","18.0%","(X)","91.8%","18.0%","(X)","85.1%","10.0%","(X)","88.1%","15.9%","(X)","98.6%","30.3%","(X)","100.0%","0.0%","(X)","75.2%","14.2%","(X)","96.7%","21.5%","(X)","89.7%","15.2%","","25.4%","10.3%","6.5%","2.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,883","1,339","3,374","6,276","894","49,957","1,430","2,904","12,961","15,635","5,957","7,796","3,274","(X)","(X)","15,695","14,972","4,087","9,372","8,793","2,636","16,017","14,752","2,953","8,873","7,106","1,394","","37,468","34,678","8,686","34,888","32,390","8,246","7,974","7,239","1,442","145","129","21","1,674","1,230","380","180","180","0","957","712","243","1,559","1,455","298","4,088","3,522","721","","(X)","(X)","(X)","(X)","","23,991","15,074","20,345","22,475","33,015","50,857"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","11.3%","28.4%","52.8%","7.5%","(X)","2.9%","5.8%","25.9%","31.3%","11.9%","15.6%","6.6%","91.3%","22.2%","(X)","95.4%","26.0%","(X)","93.8%","28.1%","(X)","92.1%","18.4%","(X)","80.1%","15.7%","","(X)","92.6%","23.2%","(X)","92.8%","23.6%","(X)","90.8%","18.1%","(X)","89.0%","14.5%","(X)","73.5%","22.7%","(X)","100.0%","0.0%","(X)","74.4%","25.4%","(X)","93.3%","19.1%","(X)","86.2%","17.6%","","28.5%","16.6%","13.4%","6.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Orange County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","25,730","1,445","5,786","14,488","4,011","85,572","3,128","3,393","12,864","11,744","5,074","22,331","27,038","(X)","(X)","17,556","16,498","10,886","16,658","15,124","9,785","35,664","33,398","21,018","15,694","14,031","7,680","","66,159","62,389","41,211","62,416","60,070","40,055","9,970","8,638","2,575","343","294","88","6,051","5,591","4,600","27","27","0","1,569","761","237","1,453","1,351","658","5,686","3,410","1,457","","(X)","(X)","(X)","(X)","","42,205","20,275","26,605","31,787","44,036","69,779"
